Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor,obs
2014-12-13,73.44648,72.0467758178711,71.02066802978516,73.03841400146484,71.4027099609375,72.44744110107422,71.6630630493164,71.90098571777344,71.91946411132812,74.77568817138672,65.988,66.029,57.507854
2014-12-14,73.785324,71.86212158203125,71.42314910888672,72.73702239990234,71.79142761230469,73.08429718017578,70.94879913330078,72.11307525634766,72.29337310791016,75.27790069580078,64.422,66.185,55.61543
2014-12-15,70.78249,69.32308197021484,68.36602783203125,70.17666625976562,68.17342376708984,68.41957092285156,68.64849090576172,68.16865539550781,68.897216796875,71.7319564819336,63.027,65.8,53.540142
2014-12-16,66.069214,64.79158782958984,63.81092071533203,65.58162689208984,63.17578887939453,65.48845672607422,64.91192626953125,62.95321273803711,64.2213363647461,67.06477355957031,62.135,65.141,52.271854
2014-12-17,65.00784,64.05152130126953,62.57928466796875,64.4526138305664,61.58760452270508,66.05504608154297,63.6881103515625,61.253082275390625,62.874961853027344,66.02357482910156,61.989,64.529,51.81086
2014-12-18,63.375885,61.81130599975586,60.78511428833008,62.175010681152344,59.84354019165039,63.25885772705078,61.08852767944336,59.540401458740234,61.170650482177734,64.51541137695312,62.53,63.913,52.157143
2014-12-19,62.82921,62.188201904296875,60.431884765625,62.305362701416016,58.64614486694336,63.92262268066406,61.78409957885742,58.478759765625,60.245819091796875,64.97114562988281,63.497,63.656,53.31057
2014-12-20,63.490894,64.39959716796875,63.11309814453125,63.94321823120117,61.92634582519531,64.19203186035156,64.19268798828125,61.81331253051758,63.867610931396484,64.94701385498047,64.635,63.573,54.760715
2014-12-21,63.657135,64.37508392333984,63.53395462036133,64.27873992919922,63.96476745605469,64.79994201660156,63.875465393066406,64.37859344482422,65.12092590332031,66.05648803710938,65.671,63.481,56.507717
2014-12-22,64.26522,65.07816314697266,64.93260192871094,65.1121597290039,65.6539077758789,65.8357925415039,65.07708740234375,66.29280090332031,66.58412170410156,66.78175354003906,66.396,63.403,58.24171
2014-12-23,64.31671,65.26909637451172,64.84564971923828,64.5775146484375,65.09245300292969,66.20906066894531,65.08119201660156,65.67142486572266,66.0770034790039,67.35546875,66.784,63.376,59.664288
