,rmse_arr,pear_arr,mielke_arr
0,7.886789851555426,0.41640487882648475,0.4021713993180134
1,8.169218450658043,0.3074604821270708,0.3011432889892294
2,7.93726037320606,0.42205096796519825,0.4159599674887089
3,8.69687851638934,0.41951272989064187,0.4066602155598108
4,8.690423440294918,0.3321088168071997,0.32216755763322513
5,8.502543629492417,0.31284151214660183,0.3031845882272276
6,7.830583271907112,0.41974161416139444,0.413426807850821
7,8.403085426628051,0.321562272160524,0.3162481563388124
8,8.19358666082427,0.34182135108994843,0.3305758988659564
9,7.971085704298144,0.3928704243801956,0.39078901608936434
10,0.0,1.0,1.0
