Datetime,p15b8k2,p17b8k4,p19b8k6,obs
2015-01-07,26.638947,25.616764068603516,24.913101196289062,-9.231667
2015-01-08,26.448713,24.694067001342773,24.199962615966797,-6.95
2015-01-09,25.408838,24.217607498168945,23.78428840637207,-6.89375
2015-01-10,22.481411,23.239980697631836,21.58368492126465,-6.8375006
2015-01-11,15.225371,20.548898696899414,16.52111053466797,-6.78125
2015-01-12,14.652833,18.326688766479492,16.52111053466797,-6.7249994
2015-01-13,11.512189,12.606653213500977,12.924299240112305,-6.6687503
2015-01-14,14.02311,11.35268783569336,12.924299240112305,-6.6125
2015-01-15,8.334969,8.852079391479492,10.292287826538086,-6.55625
2015-01-16,9.196813,9.44083309173584,7.854553699493408,-6.5000005
2015-01-17,1.1274806,9.819220542907715,2.3496105670928955,-6.4437504
2015-01-18,4.47359,7.0380635261535645,6.25864839553833,-6.3875
2015-01-19,0.5621717,1.7429331541061401,6.543408393859863,-6.3312507
2015-01-20,-2.41179,-4.164209842681885,-2.0545034408569336,-6.275
2015-01-21,-13.4652605,-9.209803581237793,-14.125544548034668,-6.21875
2015-01-22,-9.123081,-11.890902519226074,-4.326350688934326,-6.1625004
2015-01-23,-2.7396998,-11.395352363586426,-1.5979771614074707,-6.1062503
2015-01-24,-2.1746254,-7.104434967041016,-1.8788974285125732,-6.0499997
2015-01-25,-8.437816,-6.2331318855285645,-14.927350044250488,-5.936667
2015-01-26,-6.324913,-1.5886778831481934,-1.1265430450439453,-5.8233333
2015-01-27,1.2785164,-3.127509117126465,0.8428092002868652,-5.71
2015-01-28,3.3976672,-2.9919419288635254,3.5681536197662354,-5.5966663
2015-01-29,0.6534259,-1.5330381393432617,3.704200506210327,-5.483333
2015-01-30,-0.2853741,0.9529956579208374,2.7799322605133057,-5.37
2015-01-31,3.790791,5.859277725219727,2.7799322605133057,-5.2566667
2015-02-01,2.2748716,8.03944206237793,7.206610202789307,-5.1433334
2015-02-02,11.849568,7.401329040527344,12.713244438171387,-5.0299997
2015-02-03,10.3225355,6.514405250549316,12.602252006530762,-5.3380003
2015-02-04,7.659489,7.899305820465088,5.559658527374268,-5.646
2015-02-05,4.354776,7.410964012145996,5.460763454437256,-5.9540005
2015-02-06,8.807432,7.014591693878174,3.8065731525421143,-6.262
2015-02-07,-2.562777,-5.768596649169922,-11.221433639526367,-6.5699997
2015-02-08,-8.613309,-10.483383178710938,-19.936031341552734,-6.8779993
2015-02-09,-14.949668,-21.748991012573242,-17.5664119720459,-7.186
2015-02-10,-14.385036,-27.786157608032227,-17.5664119720459,-7.4940004
2015-02-11,-26.65396,-27.480667114257812,-16.582901000976562,-7.802
2015-02-12,-16.400442,-22.2833194732666,-26.448291778564453,-8.110001
2015-02-13,-15.111161,-20.610437393188477,-26.448291778564453,-8.418
2015-02-14,-11.387863,-10.683225631713867,-17.30436897277832,-8.726
2015-02-15,-9.456984,-6.609696865081787,-17.041919708251953,-9.034
2015-02-16,1.8850468,-0.3440468907356262,4.9354119300842285,-9.342
2015-02-17,10.409664,4.427512168884277,9.281864166259766,-9.65
2015-02-18,12.429689,8.617154121398926,13.352153778076172,-8.2175
2015-02-19,15.915421,14.314372062683105,13.352153778076172,-6.785001
2015-02-20,15.744949,18.911460876464844,14.461481094360352,-5.3525004
2015-02-21,19.9759,21.89594268798828,18.338899612426758,-3.92
2015-02-22,20.660793,19.978151321411133,19.238656997680664,-2.4875
2015-02-23,19.952005,18.6653995513916,19.238656997680664,-1.0550001
2015-02-24,16.276922,16.44977378845215,15.924243927001953,0.3775
2015-02-25,14.596285,14.826404571533203,14.752180099487305,1.81
2015-02-26,14.243302,15.374558448791504,14.327226638793945,-3.75
2015-02-27,10.445714,11.488716125488281,9.583556175231934,-2.147143
2015-02-28,0.5056407,3.314659357070923,5.430142879486084,-0.54428583
2015-03-01,3.7016873,-0.10377031564712524,8.344605445861816,1.0585715
2015-03-02,4.347808,-10.674549102783203,7.935266494750977,2.6614285
2015-03-03,2.9151285,-7.74622917175293,8.178348541259766,4.2642856
2015-03-04,-6.303492,-3.726057529449463,-6.584286689758301,5.8671427
2015-03-05,4.056315,2.444812297821045,1.5955151319503784,7.47
2015-03-06,12.263116,8.358652114868164,15.238666534423828,8.7
2015-03-07,15.610833,12.164308547973633,15.398311614990234,7.3228574
2015-03-08,14.249966,14.925716400146484,13.303731918334961,5.945714
2015-03-09,18.222534,19.39888572692871,18.83559799194336,4.5685716
2015-03-10,21.169579,20.68828773498535,19.804424285888672,3.1914284
2015-03-11,23.520548,21.063159942626953,23.709489822387695,1.8142856
2015-03-12,24.081415,21.70323944091797,23.709489822387695,0.43714285
2015-03-13,23.952585,22.1862850189209,22.430225372314453,-0.94
2015-03-14,23.177849,22.977815628051758,22.430225372314453,1.242
2015-03-15,21.521961,23.178651809692383,21.893888473510742,3.424
2015-03-16,22.009106,22.183032989501953,21.893888473510742,5.606
2015-03-17,20.476423,20.045326232910156,19.734304428100586,7.788
2015-03-18,19.435907,18.570085525512695,19.734304428100586,9.97
2015-03-19,13.78535,16.200597763061523,13.22518539428711,10.65
2015-03-20,7.22612,13.51495361328125,11.107450485229492,11.33
2015-03-21,11.508888,11.676766395568848,12.002132415771484,12.01
2015-03-22,11.350712,7.504077911376953,12.99946403503418,12.69
2015-03-23,11.564804,8.934555053710938,12.99946403503418,9.364285
2015-03-24,5.984697,7.156094074249268,3.642134189605713,6.0385714
2015-03-25,0.6456326,10.4091157913208,5.004712104797363,2.7128572
2015-03-26,7.340525,8.619881629943848,6.9402079582214355,-0.61285704
