Datetime,p67b8k2,p69b8k4,p71b8k6,p73b8k8,p75b8k10,p77b8k12,obs
2017-09-20,21.972567,24.58071517944336,23.731571197509766,25.100664138793945,26.081960678100586,24.819095611572266,17.151052
2017-09-21,24.20875,24.059621810913086,24.90518569946289,23.998600006103516,26.901004791259766,23.954601287841797,16.430527
2017-09-22,22.48013,22.84622573852539,26.181516647338867,24.091407775878906,25.21026039123535,22.68674659729004,15.710001
2017-09-23,22.858778,22.741050720214844,25.817476272583008,23.922931671142578,23.964920043945312,23.5200252532959,18.697502
2017-09-24,21.209051,21.972780227661133,25.88749122619629,25.409637451171875,25.930442810058594,23.21039390563965,21.685001
2017-09-25,22.562536,22.635282516479492,26.747034072875977,25.148990631103516,24.037887573242188,23.5809268951416,24.6725
2017-09-26,22.274563,25.223180770874023,26.318893432617188,25.71224594116211,27.52338981628418,23.88323211669922,27.660002
2017-09-27,24.23958,24.39892578125,26.480106353759766,26.271862030029297,27.088809967041016,24.514949798583984,26.82
2017-09-28,23.549784,24.580305099487305,26.02058219909668,26.030481338500977,27.61939811706543,25.73482894897461,27.737144
2017-09-29,24.966198,23.486894607543945,26.80033302307129,25.844572067260742,27.64258575439453,26.764179229736328,28.654287
2017-09-30,23.139328,24.054149627685547,26.531827926635742,25.232545852661133,26.730030059814453,25.10053253173828,29.57143
2017-10-01,22.704315,23.34542465209961,25.90351104736328,24.5638427734375,26.304527282714844,25.806154251098633,30.488571
2017-10-02,21.936264,22.545991897583008,24.058147430419922,23.796483993530273,24.911338806152344,21.184419631958008,31.405714
2017-10-03,21.262844,19.9511661529541,23.656063079833984,23.530471801757812,25.244131088256836,22.299352645874023,32.322857
2017-10-04,20.415842,21.249927520751953,23.238161087036133,22.114871978759766,22.822105407714844,19.343603134155273,33.239998
2017-10-05,19.447845,19.03963851928711,23.867740631103516,22.80426788330078,22.94775390625,21.268171310424805,33.019997
2017-10-06,19.616825,19.521682739257812,22.907024383544922,21.744140625,21.727710723876953,20.385454177856445,31.463846
2017-10-07,19.509985,20.83064842224121,21.100624084472656,21.008935928344727,24.73592185974121,21.818689346313477,29.907694
2017-10-08,20.403208,21.773008346557617,20.359046936035156,20.672624588012695,24.013809204101562,19.639768600463867,28.35154
2017-10-09,21.102726,21.036165237426758,18.928241729736328,19.764333724975586,22.503082275390625,20.71954345703125,26.795385
2017-10-10,19.243546,20.897397994995117,20.633380889892578,21.20558738708496,22.015195846557617,20.0245304107666,25.239231
2017-10-11,18.108807,19.391124725341797,20.76132583618164,20.487079620361328,21.081750869750977,20.36933135986328,23.683077
2017-10-12,17.628515,19.289915084838867,20.345760345458984,19.577722549438477,20.525808334350586,17.8881778717041,22.126925
2017-10-13,16.520985,16.218669891357422,18.5220890045166,18.412294387817383,19.16800308227539,16.74329376220703,20.57077
2017-10-14,14.789173,15.448980331420898,18.35405158996582,18.766357421875,18.385190963745117,16.13182258605957,19.014616
2017-10-15,16.329325,16.542985916137695,18.344829559326172,18.90609359741211,18.05636978149414,15.989739418029785,17.458462
2017-10-16,16.66962,17.53736114501953,19.275100708007812,19.463993072509766,20.765178680419922,15.059646606445312,15.902307
2017-10-17,16.88936,15.434103012084961,17.873796463012695,17.955053329467773,17.809967041015625,15.737604141235352,14.346153
2017-10-18,15.893952,16.466306686401367,18.375322341918945,17.245290756225586,19.301738739013672,17.82343292236328,12.79
2017-10-19,16.494432,15.468043327331543,17.122501373291016,17.49432373046875,17.734952926635742,18.08913803100586,12.9521055
2017-10-20,15.447484,16.244028091430664,18.526187896728516,17.477964401245117,18.960119247436523,17.49494743347168,13.11421
2017-10-21,17.17961,15.272760391235352,17.899517059326172,18.559974670410156,19.36443519592285,18.060014724731445,13.276316
2017-10-22,13.381219,15.239418983459473,16.8551082611084,17.790559768676758,19.16546058654785,14.068872451782227,13.438421
2017-10-23,13.424788,13.107132911682129,19.054590225219727,18.552175521850586,16.016706466674805,13.684710502624512,13.600526
2017-10-24,11.58482,12.690330505371094,19.792203903198242,17.33931541442871,15.082756042480469,10.87067985534668,13.762631
2017-10-25,9.569034,9.145734786987305,15.411724090576172,15.270846366882324,16.35999870300293,10.895342826843262,13.924737
2017-10-26,9.037546,9.810102462768555,14.969355583190918,14.134978294372559,15.82011890411377,9.98211669921875,14.086843
2017-10-27,9.604458,9.768138885498047,12.979225158691406,13.77098274230957,14.871757507324219,14.094706535339355,14.248947
2017-10-28,10.052613,12.711845397949219,13.596511840820312,14.000497817993164,15.121654510498047,12.621723175048828,14.411052
2017-10-29,12.149893,10.858197212219238,12.236021041870117,15.534124374389648,17.101823806762695,13.645478248596191,14.573158
2017-10-30,12.022522,11.900750160217285,11.982220649719238,15.79605770111084,16.54505157470703,12.838309288024902,14.735263
2017-10-31,11.241466,8.81147575378418,11.164178848266602,12.212056159973145,10.996665954589844,10.777499198913574,14.897368
2017-11-01,10.330707,9.645607948303223,11.318422317504883,10.352783203125,10.662016868591309,10.022642135620117,15.059474
2017-11-02,7.9681606,6.955118656158447,10.934988021850586,11.457541465759277,12.035262107849121,9.440362930297852,15.221579
2017-11-03,8.195643,7.222141742706299,11.440043449401855,11.819223403930664,11.06657600402832,7.60227108001709,15.383684
2017-11-04,9.788989,9.187760353088379,9.339338302612305,10.871357917785645,12.783278465270996,7.0965728759765625,15.545789
2017-11-05,8.24617,9.86852741241455,9.371753692626953,10.558475494384766,11.434181213378906,5.098344802856445,15.707894
2017-11-06,7.949255,8.432592391967773,7.963856220245361,11.598137855529785,11.769309997558594,6.521636486053467,15.869999
2017-11-07,7.7180557,7.226485729217529,10.531583786010742,10.921774864196777,13.15866470336914,6.862034797668457,15.455626
2017-11-08,9.225762,8.730096817016602,10.59226131439209,9.955245971679688,10.242652893066406,8.567222595214844,15.04125
2017-11-09,8.3177805,9.445629119873047,12.661483764648438,11.686009407043457,14.314391136169434,9.544078826904297,14.626875
2017-11-10,8.687236,8.972214698791504,10.02536678314209,10.89250659942627,10.713197708129883,9.492267608642578,14.2125
2017-11-11,7.1570506,7.415035247802734,9.815279006958008,12.208429336547852,14.162205696105957,10.697833061218262,13.798125
2017-11-12,9.936012,6.8262176513671875,10.842005729675293,12.396821975708008,12.343153953552246,9.78482437133789,13.38375
2017-11-13,7.600303,6.500118732452393,11.953056335449219,10.051657676696777,10.80305290222168,7.96704626083374,12.969375
2017-11-14,8.940195,6.3288726806640625,12.30251693725586,12.873604774475098,15.138794898986816,9.438200950622559,12.555
2017-11-15,6.7270722,6.738738536834717,10.498806953430176,10.941694259643555,12.348997116088867,5.842728614807129,12.140625
2017-11-16,7.83169,6.685338973999023,10.72182846069336,12.18268871307373,14.612896919250488,9.81690502166748,11.726251
2017-11-17,6.5098596,7.566808223724365,10.297389030456543,11.681364059448242,11.149519920349121,5.547659873962402,11.311875
2017-11-18,9.699569,7.4169602394104,11.681098937988281,10.734179496765137,12.537080764770508,9.063214302062988,10.8975
2017-11-19,9.722881,10.274713516235352,13.748632431030273,12.537724494934082,10.692776679992676,8.548654556274414,10.483125
2017-11-20,10.038491,7.62320613861084,13.396879196166992,11.327386856079102,11.571950912475586,9.240381240844727,10.068749
2017-11-21,8.221333,9.177901268005371,12.392101287841797,10.831718444824219,11.908682823181152,8.66413402557373,9.654374
2017-11-22,11.879829,10.190114974975586,12.31181526184082,11.08767032623291,12.65674877166748,9.514056205749512,9.240001
2017-11-23,11.815608,12.150371551513672,12.657621383666992,12.140398979187012,15.216197967529297,10.018540382385254,7.407143
2017-11-24,11.1701565,10.159076690673828,12.255434036254883,12.458669662475586,15.293042182922363,11.66946029663086,5.574286
2017-11-25,8.457989,8.176366806030273,11.166232109069824,14.625356674194336,15.204988479614258,10.580698013305664,3.7414286
2017-11-26,8.094276,5.723973751068115,11.315045356750488,11.446532249450684,12.327041625976562,9.646322250366211,1.9085714
2017-11-27,5.0946226,6.015424728393555,12.053001403808594,11.910364151000977,11.979576110839844,8.99968147277832,0.07571429
2017-11-28,8.616397,6.485753059387207,10.062666893005371,12.443532943725586,13.33889389038086,11.413834571838379,-1.7571428
2017-11-29,7.637224,6.189166069030762,8.684799194335938,11.691376686096191,13.01120662689209,8.61923599243164,-3.5900002
2017-11-30,9.787959,7.970459938049316,14.313557624816895,14.5062255859375,12.468093872070312,13.843738555908203,-11.45
2017-12-01,7.1981654,9.089364051818848,14.056474685668945,12.49681568145752,13.179976463317871,11.91846752166748,-9.275
2017-12-02,9.47367,6.842641353607178,14.852075576782227,13.950586318969727,12.106325149536133,11.39541244506836,-7.0999994
2017-12-03,5.098479,4.1017303466796875,11.942851066589355,11.150702476501465,11.497177124023438,9.74113941192627,-4.9249997
2017-12-04,7.7903004,4.284590244293213,10.878326416015625,12.116606712341309,12.670042037963867,11.733226776123047,-2.75
2017-12-05,6.2559056,6.055412292480469,9.796632766723633,9.772621154785156,10.954259872436523,7.70217227935791,-0.575
2017-12-06,8.954718,6.5252838134765625,13.544774055480957,10.776057243347168,13.317025184631348,11.182969093322754,1.6
2017-12-07,5.7315726,7.058749198913574,10.06390380859375,11.128483772277832,10.875303268432617,8.336504936218262,3.775
2017-12-08,7.459142,7.182191371917725,9.536338806152344,12.375247955322266,13.648153305053711,8.659279823303223,5.9500003
2017-12-09,5.672788,7.970431804656982,6.052709102630615,10.719319343566895,8.857192993164062,5.538559913635254,4.1042857
2017-12-10,8.710256,9.479994773864746,11.4613037109375,11.783590316772461,11.521988868713379,10.26187515258789,2.2585714
2017-12-11,7.59415,8.252402305603027,8.82681655883789,10.961050987243652,8.370721817016602,7.350233554840088,0.41285712
2017-12-12,9.182121,7.472927570343018,12.213159561157227,10.692251205444336,9.524351119995117,10.103803634643555,-1.4328573
2017-12-13,6.0927644,6.324716091156006,9.923951148986816,10.644133567810059,8.66222858428955,8.066377639770508,-3.2785716
2017-12-14,8.503932,6.600811004638672,9.983219146728516,5.9023661613464355,6.252325057983398,5.0311198234558105,-5.1242857
2017-12-15,5.874953,3.6411502361297607,6.934077739715576,4.957468509674072,5.432854652404785,5.075477123260498,-6.9699993
2017-12-16,5.076382,0.9074541330337524,4.82388162612915,6.722649574279785,5.888932228088379,4.6856465339660645,-6.7038593
2017-12-17,3.3563347,0.7198669910430908,3.229203462600708,5.997807502746582,6.670734405517578,4.9273223876953125,-6.437719
2017-12-18,4.6310472,2.296677827835083,6.181791305541992,7.7017412185668945,6.092562198638916,7.09818172454834,-6.171579
2017-12-19,3.8533523,2.178288698196411,7.139446258544922,8.910164833068848,3.3601510524749756,6.662508010864258,-5.9054384
2017-12-20,6.691134,2.723714590072632,10.356679916381836,10.295206069946289,7.449973106384277,11.537446975708008,-5.6392984
2017-12-21,6.6186957,7.687234401702881,7.401185035705566,9.812252044677734,10.47188663482666,9.669149398803711,-5.373158
2017-12-22,9.646956,9.49170970916748,11.074613571166992,12.110626220703125,12.183389663696289,10.513335227966309,-5.107018
2017-12-23,7.923469,8.774630546569824,10.948140144348145,10.071736335754395,10.901617050170898,10.046736717224121,-4.8408775
2017-12-24,11.3270035,8.952349662780762,13.511805534362793,12.945619583129883,12.130623817443848,12.260222434997559,-4.574737
2017-12-25,7.498505,9.746204376220703,12.096735000610352,13.760953903198242,14.136861801147461,11.344037055969238,-4.3085966
2017-12-26,10.553956,12.40451717376709,12.580221176147461,13.33719253540039,13.59535026550293,11.798973083496094,-4.0424566
2017-12-27,6.3852487,11.98497486114502,9.780159950256348,10.708961486816406,10.897028923034668,9.609997749328613,-3.7763162
2017-12-28,11.948661,10.745512008666992,13.012847900390625,11.91700267791748,11.289917945861816,11.624857902526855,-3.5101752
2017-12-29,9.309469,11.334450721740723,12.677959442138672,12.09730339050293,10.160524368286133,11.429559707641602,-3.2440348
2017-12-30,10.678063,10.911169052124023,13.935970306396484,15.6137056350708,14.514485359191895,12.364446640014648,-2.9778948
2017-12-31,8.904706,10.102871894836426,10.267546653747559,9.326419830322266,10.001913070678711,9.630961418151855,-2.7117543
2018-01-01,11.707612,8.32528018951416,11.099425315856934,12.096712112426758,10.87624454498291,11.21383285522461,-2.4456139
2018-01-02,8.326084,8.988468170166016,8.233964920043945,10.751153945922852,10.461019515991211,9.469442367553711,-2.1794736
2018-01-03,10.4935255,7.994148254394531,11.12081241607666,10.869988441467285,9.680543899536133,10.093253135681152,-1.9133334
2018-01-04,9.799195,9.78006362915039,10.725310325622559,9.79063606262207,10.089970588684082,9.981860160827637,-1.6471932
2018-01-05,8.858972,8.806807518005371,8.148575782775879,9.590486526489258,8.903351783752441,8.1541109085083,-1.3810527
2018-01-06,7.1030054,9.05374813079834,8.496488571166992,9.6876859664917,9.271288871765137,9.17233943939209,-1.1149125
2018-01-07,8.129202,9.26383113861084,11.256173133850098,12.663713455200195,10.28050422668457,11.270483016967773,-0.84877175
2018-01-08,9.165375,9.214322090148926,10.945767402648926,11.370196342468262,10.737448692321777,12.98886489868164,-0.5826315
2018-01-09,7.9779744,7.309518337249756,12.933773040771484,13.793012619018555,12.117598533630371,11.225507736206055,-0.3164913
2018-01-10,9.283169,8.387773513793945,12.41028118133545,11.641709327697754,10.9102201461792,12.024811744689941,-0.050350964
2018-01-11,8.380568,7.475322246551514,9.881999969482422,12.16620922088623,11.64159107208252,10.452290534973145,0.21578938
2018-01-12,7.8897243,7.9070281982421875,16.75942039489746,14.445443153381348,10.216076850891113,12.451033592224121,0.48192984
2018-01-13,6.66002,5.492508411407471,17.105934143066406,14.111882209777832,9.152817726135254,12.212800025939941,0.7480702
2018-01-14,7.2291293,10.704747200012207,13.769242286682129,12.442601203918457,14.866174697875977,10.892101287841797,1.0142105
2018-01-15,7.404192,9.164813995361328,12.980233192443848,13.629799842834473,13.638864517211914,8.07335376739502,1.2803509
2018-01-16,5.601799,8.696893692016602,12.203439712524414,10.620535850524902,12.897902488708496,14.954891204833984,1.5464913
2018-01-17,5.8602815,7.2314958572387695,11.290478706359863,13.413405418395996,11.812785148620605,10.7904634475708,1.8126316
2018-01-18,3.4918344,6.67343807220459,10.32072639465332,10.732012748718262,10.581954956054688,9.956477165222168,2.0787718
2018-01-19,5.1447077,5.617189407348633,14.757979393005371,13.7687406539917,10.203166961669922,9.794794082641602,2.3449123
2018-01-20,2.287274,3.9744696617126465,8.844721794128418,7.257991790771484,5.237351417541504,5.590363502502441,2.6110525
2018-01-21,0.7043766,-0.09461718797683716,7.568306922912598,5.665247440338135,4.3792853355407715,2.941739320755005,2.877193
2018-01-22,-3.861023,1.572001576423645,8.083687782287598,3.480958938598633,2.334148645401001,3.222081184387207,3.1433332
2018-01-23,-1.4056749,0.8372988700866699,4.612119197845459,2.9605445861816406,6.777865886688232,3.4083895683288574,3.4094737
2018-01-24,-0.7753896,1.4536106586456299,1.9757951498031616,0.34021735191345215,3.061176061630249,3.4130592346191406,3.6756139
2018-01-25,0.4463017,-0.8384520411491394,3.0611412525177,2.564690351486206,4.939639091491699,4.612203121185303,3.9417543
2018-01-26,-1.7200181,-1.4339838027954102,2.128330707550049,1.5741578340530396,2.993220806121826,5.405479907989502,4.207895
2018-01-27,-1.7314193,-3.5048556327819824,2.378099203109741,2.6120903491973877,4.203391075134277,2.5221898555755615,4.4740353
2018-01-28,-1.0243285,-0.8104822039604187,1.671998381614685,1.8052424192428589,3.030855178833008,3.5592572689056396,4.7401757
2018-01-29,-3.8510246,-2.969301700592041,3.27790904045105,3.748884677886963,3.6845057010650635,3.9862396717071533,5.0063157
2018-01-30,-3.8684974,-1.0547082424163818,1.8024884462356567,2.3553555011749268,0.8061025738716125,6.441917419433594,5.272456
2018-01-31,-2.6622515,0.898881733417511,2.7599117755889893,6.186413288116455,7.52390193939209,4.98966121673584,5.538596
2018-02-01,0.81948847,2.9358251094818115,2.2935123443603516,2.5210323333740234,3.1812527179718018,0.7860921621322632,5.8047366
2018-02-02,1.8117615,0.0889250636100769,1.1825675964355469,2.0593831539154053,4.254887580871582,-1.0171947479248047,6.070877
2018-02-03,1.6997625,-1.4548704624176025,1.166027545928955,1.8682115077972412,0.8064605593681335,-0.4735735058784485,6.3370175
2018-02-04,-3.3489037,-8.174163818359375,1.1699588298797607,2.056569814682007,-0.5711286664009094,-1.3198676109313965,6.6031575
2018-02-05,-3.8354864,-1.6391997337341309,3.701587200164795,1.4150185585021973,2.816798210144043,1.0450974702835083,6.869298
2018-02-06,-1.2751942,-3.805483818054199,3.570916175842285,0.7468134760856628,1.2616026401519775,-0.17701297998428345,7.135439
2018-02-07,-0.021533191,-0.20013421773910522,1.767500400543213,1.4175901412963867,2.925490379333496,2.815032482147217,7.401579
2018-02-08,-1.9923718,-4.847409725189209,0.9182417988777161,2.6914045810699463,4.142005920410156,0.7811416983604431,7.6677194
2018-02-09,-3.2855544,-0.7609738707542419,4.264121055603027,0.8501676321029663,4.223916530609131,2.460710048675537,7.93386
2018-02-10,-2.826971,-4.2461652755737305,4.289277076721191,0.5276724100112915,3.079211950302124,-0.16376084089279175,8.200001
2018-02-11,-2.8335586,0.6025235056877136,1.7264046669006348,1.010877251625061,2.840441942214966,0.27762025594711304,7.8514285
2018-02-12,-3.5261178,-1.3987655639648438,2.383592128753662,1.7308281660079956,4.548704624176025,0.791988730430603,7.502857
2018-02-13,-1.0748105,3.058819532394409,5.631350994110107,3.0988450050354004,4.0008225440979,2.9997920989990234,7.1542854
2018-02-14,-0.21065432,1.2278674840927124,5.080738544464111,3.445882797241211,3.650775194168091,2.976182699203491,6.805714
2018-02-15,-2.849657,1.2934447526931763,4.926890850067139,4.165817737579346,3.276962995529175,1.6271641254425049,6.457143
2018-02-16,-0.009968341,0.862925112247467,6.789255619049072,5.304372310638428,4.2201056480407715,3.0070691108703613,6.108571
2018-02-17,1.3355532,4.639828681945801,2.668330430984497,5.334294319152832,5.99909782409668,3.6085569858551025,5.7599998
2018-02-18,-1.3473909,1.0262699127197266,3.8334097862243652,4.401062965393066,4.1381940841674805,1.7324271202087402,-3.29
2018-02-19,0.82333416,1.4146119356155396,4.116840839385986,4.348313331604004,4.93780517578125,6.025671482086182,-1.92875
2018-02-20,0.36015737,-0.3177352547645569,3.808978796005249,4.41462516784668,4.117799282073975,6.779565811157227,-0.56749994
2018-02-21,-0.56291765,0.2254350781440735,3.0668118000030518,3.795018196105957,2.3625242710113525,3.329115390777588,0.79375
2018-02-22,0.13900477,-3.0802040100097656,7.5268940925598145,5.822604656219482,2.344662666320801,5.155431747436523,2.155
2018-02-23,-0.24801296,-3.3024826049804688,3.8206706047058105,5.520439147949219,0.3197616934776306,4.642541408538818,3.51625
2018-02-24,-0.94040626,-1.263697624206543,1.726420521736145,4.8458428382873535,6.7659592628479,2.0061800479888916,4.8775
2018-02-25,-2.4660616,1.471137523651123,2.194962739944458,3.774333953857422,6.598226070404053,0.3418918251991272,6.23875
2018-02-26,-0.70646375,0.6814770698547363,3.9741852283477783,2.5690619945526123,5.255477428436279,2.8578078746795654,7.6
2018-02-27,-1.5779173,0.27245432138442993,1.4850006103515625,5.303070545196533,7.190995216369629,3.322741985321045,7.4542856
2018-02-28,-2.11496,-2.5912578105926514,2.9892818927764893,4.062353610992432,3.358107805252075,2.2910752296447754,7.3085713
2018-03-01,-3.2515678,-0.8649882674217224,4.623039245605469,6.967428207397461,5.512080192565918,5.450801849365234,7.162857
2018-03-02,-3.78336,-5.749198913574219,0.42206597328186035,0.1576417088508606,0.2914862036705017,2.1463613510131836,7.017143
2018-03-03,-8.125932,-5.593782901763916,1.7902368307113647,1.9174937009811401,3.1875553131103516,2.011324167251587,6.8714285
2018-03-04,-5.8920646,-3.67728328704834,-0.10052424669265747,1.6065179109573364,4.208256721496582,3.975238084793091,6.725714
2018-03-05,-2.3663652,0.2823813557624817,1.6533617973327637,-2.588700771331787,2.067802667617798,0.8862738013267517,6.58
2018-03-06,0.387482,-3.9331350326538086,3.5126988887786865,-5.559051036834717,-0.5102464556694031,-2.778115749359131,-7.54
2018-03-07,-4.6102576,-1.88606595993042,-3.1484451293945312,-4.6862406730651855,-0.3936542868614197,-3.222395896911621,-7.1295834
2018-03-08,-6.1951056,-5.328160762786865,-5.51596212387085,-4.2597808837890625,-1.867025375366211,-2.795281410217285,-6.7191668
2018-03-09,-7.1005793,-0.4750620722770691,-0.8419687151908875,-1.712770938873291,-1.6347448825836182,-1.48787522315979,-6.3087497
2018-03-10,-1.1822186,-0.09116989374160767,0.6479994654655457,-2.983275890350342,-3.85919189453125,-2.667590379714966,-5.898333
2018-03-11,0.5656446,-0.43056362867355347,1.9298919439315796,0.6108770370483398,1.7039414644241333,-1.0711755752563477,-5.4879165
2018-03-12,-0.07266897,-2.5080204010009766,1.4637799263000488,-1.8974485397338867,-1.7353122234344482,-0.9129781126976013,-5.0775
2018-03-13,-1.9238398,1.3758453130722046,2.799154281616211,1.2781567573547363,5.772995471954346,-0.08753055334091187,-4.6670837
2018-03-14,0.4581133,-3.172304630279541,-3.229696273803711,-6.137617588043213,-3.135990619659424,-2.6947569847106934,-4.256667
2018-03-15,-3.7321548,-0.059756696224212646,-0.960507333278656,-3.1137919425964355,3.1859946250915527,-0.1196783185005188,-3.84625
2018-03-16,-3.6808825,-5.295161724090576,-2.0906929969787598,-2.1949281692504883,-1.8389203548431396,-0.06520313024520874,-3.4358335
2018-03-17,-3.0846977,-2.577030897140503,-0.20822840929031372,1.2624074220657349,1.2482454776763916,1.8843358755111694,-3.0254169
2018-03-18,-0.72057384,-4.504508972167969,0.7151889801025391,0.8289923071861267,-1.1943180561065674,2.0162549018859863,-2.6150002
2018-03-19,-0.024629772,-2.7319068908691406,2.142913818359375,2.3970327377319336,1.2622097730636597,2.415271759033203,-2.2045836
2018-03-20,1.2045057,-2.0246989727020264,1.481229543685913,1.3264111280441284,0.17499083280563354,2.8429665565490723,-1.7941668
2018-03-21,1.8792151,4.1403045654296875,2.479747772216797,3.734830617904663,5.958263874053955,2.8855812549591064,-1.38375
2018-03-22,2.5210872,3.1935367584228516,4.3497467041015625,1.8025860786437988,2.8332278728485107,3.1460747718811035,-0.9733333
2018-03-23,2.0504267,7.302011966705322,7.210870265960693,3.805401563644409,5.681939601898193,4.5574798583984375,-0.5629166
2018-03-24,3.3801634,5.048429012298584,3.9663798809051514,1.7620494365692139,0.31737494468688965,4.167233943939209,-0.15249997
2018-03-25,1.834761,6.888186454772949,6.503811359405518,3.7365882396698,4.179105281829834,5.325081825256348,0.25791675
2018-03-26,4.246145,4.562801361083984,7.344720363616943,4.278291702270508,1.7883845567703247,6.7779364585876465,0.66833335
2018-03-27,2.5957596,7.012100696563721,7.705570697784424,4.838632106781006,7.041230201721191,6.814754962921143,1.07875
2018-03-28,2.343838,2.826094627380371,4.881435394287109,2.61074161529541,4.072378635406494,5.502254962921143,1.4891666
2018-03-29,0.7771464,7.030137538909912,4.435755729675293,3.7151989936828613,8.163437843322754,6.859686374664307,1.8995833
2018-03-30,4.081268,5.426904678344727,3.1955409049987793,2.0899839401245117,3.67403244972229,5.691908359527588,2.31
2018-03-31,3.4668558,6.735569000244141,3.828630208969116,2.5914735794067383,4.07354211807251,3.6300880908966064,3.6986666
2018-04-01,6.6805425,5.005475044250488,3.8721861839294434,1.3161883354187012,-0.01027387473732233,4.19010066986084,5.087333
2018-04-02,3.8400216,3.883885145187378,4.4026336669921875,2.1837124824523926,2.2490293979644775,3.7930338382720947,6.476
2018-04-03,3.3392777,3.263333559036255,2.5526044368743896,0.0075910682789981365,-1.539846658706665,0.039392054080963135,7.864667
2018-04-04,1.6952511,5.0361456871032715,5.6023688316345215,2.6839356422424316,2.802523374557495,0.792689323425293,9.253333
2018-04-05,4.59294,4.119396209716797,2.0782063007354736,2.5857722759246826,-0.06838721036911011,3.7702531814575195,10.642
2018-04-06,3.8906236,6.810083866119385,5.199979782104492,3.731081247329712,4.53999662399292,4.944981098175049,12.030666
2018-04-07,6.6259727,6.155383110046387,4.469970226287842,0.5889321565628052,1.8486242294311523,3.2898049354553223,13.419333
2018-04-08,2.4167519,6.149842739105225,3.076319932937622,0.20432573556900024,2.724030017852783,1.0295944213867188,14.808001
2018-04-09,2.1254427,1.8000484704971313,3.1827104091644287,0.35940253734588623,1.1295443773269653,2.4695327281951904,16.196667
2018-04-10,1.2621888,4.751476287841797,3.872150421142578,1.8186261653900146,3.638497829437256,4.560736656188965,17.585335
2018-04-11,3.5863452,4.343891143798828,6.274624824523926,3.4690654277801514,1.8440732955932617,5.217071533203125,18.974
2018-04-12,4.3579803,5.252077102661133,6.96257209777832,4.620994567871094,3.040188789367676,6.44187593460083,20.362667
2018-04-13,4.851965,4.3212127685546875,4.947371482849121,5.768484592437744,6.5059027671813965,4.858188152313232,21.751335
2018-04-14,2.64545,5.7913899421691895,3.5853474140167236,6.4120330810546875,8.59262466430664,4.273869514465332,23.140001
2018-04-15,5.1866746,2.9888503551483154,3.107381582260132,-1.7394683361053467,1.4706358909606934,2.3607985973358154,-0.39000005
2018-04-16,0.5263955,2.9396703243255615,4.716060161590576,-0.5950720906257629,3.3049981594085693,2.2989022731781006,-0.44857138
2018-04-17,-1.7297328,0.41456466913223267,0.45206499099731445,-0.5528737902641296,-0.9108127951622009,1.8548568487167358,-0.50714284
2018-04-18,-2.8409476,3.010605573654175,1.649992823600769,0.20399600267410278,2.1944420337677,3.777100086212158,-0.5657143
2018-04-19,1.0233272,0.7560636401176453,0.036508142948150635,-2.362586259841919,-4.429838180541992,-0.6919681429862976,-0.62428576
2018-04-20,1.6714405,2.181645631790161,3.094102621078491,-2.1654586791992188,-1.4616620540618896,0.015047847293317318,-0.6828572
2018-04-21,0.21083742,-1.442685604095459,0.2512585520744324,-2.3211910724639893,-2.716982841491699,-1.16947340965271,-0.74142855
2018-04-22,-1.1555364,1.6202268600463867,1.2244133949279785,-0.9930662512779236,-0.8492993712425232,-0.5779368281364441,-0.80000013
2018-04-23,1.5296052,-0.6156585812568665,0.23970633745193481,-3.8530735969543457,-3.5806617736816406,-2.4411396980285645,-0.39333338
2018-04-24,-1.5506275,-0.8913690447807312,-1.4237513542175293,-5.928847789764404,-4.221374034881592,-4.100579738616943,0.013333379
2018-04-25,-1.7689486,-4.2992377281188965,-3.5547165870666504,-5.523143768310547,-6.04024076461792,-4.496001243591309,0.42000002
2018-04-26,-4.455982,-4.651264190673828,-4.045809745788574,-4.736639022827148,-4.51792049407959,-4.2976274490356445,0.82666665
2018-04-27,-0.45792645,-2.8693161010742188,-2.040543556213379,-3.830514430999756,-6.477448463439941,-3.166184902191162,1.2333333
2018-04-28,-2.073866,0.025617539882659912,-2.628800868988037,-1.532123327255249,-2.5581750869750977,-1.2329308986663818,1.64
2018-04-29,-0.03603822,-0.08634787797927856,-2.7031145095825195,-1.8499674797058105,-2.599146604537964,-0.6089537739753723,2.0466666
2018-04-30,-1.2958772,1.652807354927063,-1.5301322937011719,-0.7297255396842957,-1.5152952671051025,-0.8404774069786072,2.4533334
2018-05-01,1.6217103,1.4758696556091309,-0.3752250075340271,-0.5450473427772522,-2.4371776580810547,-1.5604746341705322,2.86
2018-05-02,1.5811121,1.6948628425598145,-0.4343467354774475,-2.5999534130096436,-4.454790115356445,-2.6422107219696045,5.548571
2018-05-03,2.8805127,-0.312303364276886,2.7292819023132324,-0.7997109293937683,-4.229752540588379,0.07714658975601196,8.2371435
2018-05-04,0.011412798,-1.4319570064544678,-0.733853280544281,-2.706078052520752,-6.990954399108887,-2.421205520629883,10.9257145
2018-05-05,3.0342526,0.22672754526138306,1.3938876390457153,-0.8119301199913025,-2.0618655681610107,-1.020296573638916,13.614285
2018-05-06,1.8087748,3.001722574234009,-0.4782087206840515,0.32303184270858765,-1.7358052730560303,-0.9182094931602478,16.302858
2018-05-07,6.008665,4.614485740661621,0.5982640981674194,0.35052651166915894,0.022913038730621338,1.9130486249923706,18.991428
