Datetime,p47b8k2,p49b8k4,p51b8k6,p53b8k8,p55b8k10,p57b8k12,obs
2015-03-17,3.288627,2.4957382678985596,6.376789569854736,6.4573774337768555,5.571946620941162,5.226836204528809,7.788
2015-03-18,5.387026,4.70396089553833,6.681430339813232,9.564252853393555,5.156614780426025,7.436478137969971,9.97
2015-03-19,9.629594,13.45957088470459,14.758209228515625,15.125741004943848,14.67370319366455,14.832310676574707,10.65
2015-03-20,10.637759,12.648882865905762,13.662514686584473,17.4039249420166,16.666614532470703,16.780363082885742,11.33
2015-03-21,11.902181,13.731829643249512,17.19370460510254,15.70964527130127,15.798919677734375,16.341917037963867,12.01
2015-03-22,15.662556,13.885817527770996,18.604774475097656,16.336116790771484,15.178545951843262,15.904340744018555,12.69
2015-03-23,13.672564,18.73397445678711,18.887914657592773,16.42698860168457,21.517250061035156,19.159286499023438,9.364285
2015-03-24,16.330061,16.33211898803711,18.64438247680664,18.39261245727539,21.20253562927246,19.461435317993164,6.0385714
2015-03-25,16.031328,20.049190521240234,18.533222198486328,18.595382690429688,17.61351776123047,18.517776489257812,2.7128572
2015-03-26,16.421124,15.506004333496094,20.689708709716797,18.056804656982422,15.917173385620117,18.02473258972168,-0.61285704
2015-03-27,16.405888,16.51435089111328,18.001590728759766,15.08797550201416,17.219999313354492,18.05238151550293,-3.9385715
2015-03-28,15.874626,13.684374809265137,18.894145965576172,15.414142608642578,15.82059097290039,17.82790184020996,-7.264286
2015-03-29,13.441037,16.077760696411133,17.050373077392578,16.87149429321289,15.824690818786621,14.972776412963867,-10.59
2015-03-30,12.790982,13.08257007598877,16.49616813659668,17.32097053527832,14.695074081420898,16.238901138305664,-15.360002
2015-03-31,11.161599,13.857131004333496,17.171218872070312,15.432758331298828,18.88279151916504,16.903579711914062,-15.5425005
2015-04-01,10.672534,11.72011661529541,16.21473503112793,15.589481353759766,17.959016799926758,16.060237884521484,-15.725001
2015-04-02,8.504493,13.347286224365234,14.589439392089844,13.095292091369629,14.552448272705078,13.597726821899414,-15.907498
2015-04-03,8.920933,10.8994140625,13.860063552856445,13.619296073913574,13.374380111694336,12.395472526550293,-16.089998
2015-04-04,6.45209,11.9607515335083,7.995697021484375,10.664312362670898,12.69099235534668,11.105984687805176,-16.2725
2015-04-05,5.2728543,7.6166510581970215,7.013872146606445,10.041481018066406,9.983052253723145,10.48603630065918,-16.454998
2015-04-06,3.7515395,6.351049423217773,5.166895389556885,12.559131622314453,9.079357147216797,10.709529876708984,-16.637499
2015-04-07,5.7230883,4.233452320098877,5.522470951080322,11.768722534179688,8.013267517089844,9.773681640625,-16.819998
2015-04-08,7.696474,7.346675872802734,6.125511169433594,11.517447471618652,10.309625625610352,9.745698928833008,-16.083332
2015-04-09,8.285508,6.08005952835083,6.698002815246582,11.83520793914795,9.392181396484375,10.226369857788086,-15.346665
2015-04-10,7.106829,6.288877487182617,4.476626873016357,12.154841423034668,8.205971717834473,9.50078010559082,-14.61
2015-04-11,9.074052,4.977663516998291,7.476539611816406,12.091692924499512,8.050878524780273,9.8429594039917,-13.873333
2015-04-12,8.76566,4.96900749206543,5.583568096160889,9.722234725952148,7.014459133148193,7.9803266525268555,-13.136666
2015-04-13,9.738005,5.973020076751709,4.786015510559082,8.896045684814453,8.117598533630371,6.163113117218018,-12.400001
2015-04-14,7.539137,6.061854839324951,2.9522063732147217,9.026439666748047,7.2509870529174805,6.341005325317383,-11.663334
2015-04-15,8.165182,3.7743356227874756,6.025149345397949,9.560807228088379,6.372420787811279,6.0384135246276855,-10.926667
2015-04-16,6.2585044,3.5155417919158936,3.917130947113037,7.532614231109619,5.744455337524414,4.665220260620117,-10.190001
2015-04-17,3.415746,-0.2990569472312927,0.9211289882659912,6.7044782638549805,3.451737403869629,4.458512783050537,-11.082667
2015-04-18,2.373169,0.18708664178848267,1.239034652709961,5.748668193817139,4.22983455657959,4.801756381988525,-11.975333
2015-04-19,1.4640399,-2.560331344604492,-0.24880868196487427,6.006661891937256,2.2325446605682373,4.00016450881958,-12.867999
2015-04-20,-0.3339669,-2.594187021255493,-2.629823684692383,4.121452331542969,1.9233624935150146,1.4805301427841187,-13.760666
2015-04-21,-0.77214164,-5.012737274169922,-4.451345920562744,3.7892768383026123,0.4898111820220947,1.746335744857788,-14.653333
