Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor,obs
2014-12-08,73.03443,73.04702758789062,68.6351318359375,71.42710876464844,72.6728286743164,72.43148040771484,72.26957702636719,71.16441345214844,72.91383361816406,73.31673431396484,69.744,65.203,65.00786
2014-12-09,73.5084,72.99473571777344,68.80378723144531,71.52416229248047,72.50755310058594,73.31588745117188,72.07852935791016,71.19046783447266,72.31005096435547,74.02030181884766,69.624,65.34,64.286285
2014-12-10,73.157555,72.9599380493164,68.51931762695312,71.2225341796875,72.12146759033203,72.96724700927734,72.2696533203125,70.52436828613281,72.07353973388672,73.33694458007812,69.239,65.493,63.081
2014-12-11,73.05898,72.56770324707031,68.53021240234375,70.88679504394531,71.61012268066406,72.7080078125,71.74787902832031,70.35721588134766,71.38556671142578,72.81275939941406,68.509,65.685,61.392002
2014-12-12,72.995865,73.19013214111328,68.73930358886719,71.33551025390625,72.19046020507812,72.44282531738281,72.32624816894531,70.72749328613281,73.22744750976562,72.75712585449219,67.412,65.862,59.219288
2014-12-13,73.30441,73.38182067871094,68.78760528564453,71.90413665771484,72.75572967529297,73.347412109375,72.68827819824219,70.7770767211914,74.331298828125,73.63748168945312,65.988,66.029,57.507854
2014-12-14,73.63162,73.87893676757812,68.91535949707031,72.4713363647461,72.98838806152344,73.75222778320312,72.90888214111328,70.9843978881836,74.27081298828125,73.97977447509766,64.422,66.185,55.61543
2014-12-15,69.76143,68.50883483886719,66.47116088867188,69.63907623291016,69.97265625,69.50936126708984,68.14571380615234,67.80158233642578,68.52828979492188,70.29496765136719,63.027,65.8,53.540142
2014-12-16,64.02763,63.54026794433594,63.63080978393555,65.32168579101562,64.8793716430664,63.90382385253906,63.17873764038086,63.51106262207031,64.98439025878906,63.84738540649414,62.135,65.141,52.271854
2014-12-17,61.73823,62.32829666137695,62.27694320678711,63.8400764465332,64.37005615234375,62.36920166015625,62.393798828125,61.520755767822266,63.54789352416992,62.45077896118164,61.989,64.529,51.81086
2014-12-18,59.23569,61.09461212158203,61.03513717651367,60.818931579589844,61.527809143066406,60.6715202331543,60.386104583740234,59.80158615112305,60.940311431884766,60.391231536865234,62.53,63.913,52.157143
2014-12-19,59.253574,60.582969665527344,60.3350830078125,60.52717208862305,61.15092086791992,60.21063995361328,59.881961822509766,59.15744400024414,59.78441619873047,60.73066711425781,63.497,63.656,53.31057
2014-12-20,60.414494,63.55271911621094,62.5333366394043,62.43809127807617,63.875274658203125,62.35922622680664,61.838096618652344,62.127742767333984,61.744346618652344,61.27729034423828,64.635,63.573,54.760715
2014-12-21,61.744064,64.94943237304688,64.55728149414062,62.47589111328125,64.18827819824219,63.78581619262695,63.289241790771484,65.0820541381836,61.864776611328125,64.2267074584961,65.671,63.481,56.507717
2014-12-22,62.706753,66.96711730957031,65.82154846191406,64.48336029052734,65.52960968017578,64.18539428710938,65.13687133789062,67.0991439819336,63.231658935546875,65.15898895263672,66.396,63.403,58.24171
2014-12-23,63.87756,66.54818725585938,66.0375747680664,64.43726348876953,65.6368637084961,65.19810485839844,65.1045913696289,66.98149108886719,63.99435806274414,66.25887298583984,66.784,63.376,59.664288
2014-12-24,63.719044,67.31844329833984,66.20549011230469,64.42279052734375,66.17544555664062,65.29084777832031,65.98875427246094,67.14384460449219,65.56890106201172,65.97224426269531,66.935,63.343,60.775288
2014-12-25,63.73999,65.11740112304688,65.42716979980469,63.11874771118164,64.6048812866211,64.154052734375,63.97024917602539,66.18305206298828,63.169578552246094,65.50001525878906,66.962,63.296,61.57471
2014-12-26,62.965782,65.19586944580078,65.26890563964844,62.25100326538086,65.26884460449219,63.362449645996094,63.786468505859375,66.19190979003906,63.78623580932617,63.967079162597656,66.928,63.237,62.117855
