,rmse_arr,pear_arr,mielke_arr
0,4.930555457650962,0.5579580208380894,0.548800096519021
1,5.112975437734619,0.5357968320789426,0.5013531604249579
2,5.071524514749556,0.5312237822985312,0.5012979717464849
3,5.024883093798165,0.552852703940015,0.5405000430082432
4,5.55940920902419,0.48914874470485326,0.44791730263576746
5,5.341135701735327,0.5322872221413966,0.4764752201835415
6,5.146515890654792,0.5120481672552508,0.4842720122800156
7,5.407263264799149,0.5028421998899524,0.47035626184681256
8,5.49269985144036,0.5145632091837189,0.4510137898859442
9,6.124000711968648,0.4997900188140263,0.4046119001421723
10,5.40599111583007,0.38894519583111886,0.321167495732386
11,4.08270022004055,0.5890239972436624,0.47446585286807974
12,0.0,1.0,1.0
