Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor
2016-03-25,52.59643,55.99483871459961,55.31037902832031,54.19823455810547,57.404197692871094,58.3036003112793,58.2205696105957,55.25611877441406,57.906028747558594,55.2184944152832,58.895,57.537
2016-03-26,51.457413,55.99407958984375,54.29826354980469,52.965484619140625,55.170475006103516,56.77606964111328,57.45144271850586,53.42924118041992,55.842529296875,52.69622802734375,60.198,57.131
2016-03-27,53.554733,57.13221740722656,55.90769958496094,56.03520202636719,57.423240661621094,58.192047119140625,58.34905242919922,55.29246139526367,57.40736770629883,54.541893005371094,61.865,56.906
2016-03-28,55.320778,59.87773132324219,58.41436767578125,57.57427215576172,58.94455337524414,60.00125503540039,60.57061767578125,57.8127555847168,59.56487274169922,56.19922637939453,63.565,56.868
2016-03-29,56.743263,60.464378356933594,59.05963134765625,58.809810638427734,59.86463165283203,60.08851623535156,60.96204376220703,58.41453552246094,60.33754348754883,58.61345672607422,65.033,56.983
2016-03-30,58.04464,61.20205307006836,59.40139389038086,59.21735382080078,61.37675857543945,58.78413772583008,61.33740234375,58.85206985473633,60.77631378173828,59.28411102294922,66.153,57.173
2016-03-31,59.847973,61.7414436340332,60.383670806884766,61.39705276489258,63.3214111328125,61.01889419555664,62.27137756347656,60.44310760498047,62.14579391479492,60.864280700683594,66.979,57.4
2016-04-01,61.690987,63.27037048339844,61.785865783691406,61.583370208740234,63.67719268798828,62.27538299560547,63.92543411254883,61.59064865112305,62.89282989501953,62.102149963378906,67.611,57.609
2016-04-02,62.565857,63.0138053894043,62.26041793823242,62.011348724365234,64.45881652832031,62.480445861816406,63.80314254760742,61.65853500366211,63.68266296386719,62.562034606933594,68.116,57.666
2016-04-03,61.313686,61.36062240600586,61.27534484863281,60.4312744140625,62.96784591674805,62.04308319091797,62.80181884765625,61.10782241821289,62.292545318603516,62.948429107666016,68.571,57.591
2016-04-04,60.55513,61.26178741455078,60.743202209472656,60.4828987121582,63.16343307495117,62.644683837890625,61.62688064575195,61.120174407958984,62.47734832763672,63.70512771606445,69.032,57.772
2016-04-05,60.110806,62.33712387084961,60.477046966552734,60.851444244384766,64.72177124023438,63.64105224609375,62.00889587402344,61.705780029296875,63.96971893310547,64.86539459228516,69.503,58.175
2016-04-06,60.913414,63.6448974609375,62.172000885009766,61.84827423095703,65.96402740478516,64.16639709472656,64.29041290283203,64.14398956298828,65.72201538085938,65.92697143554688,69.924,58.534
2016-04-07,62.07428,64.61163330078125,63.955535888671875,62.32808303833008,65.22151184082031,64.24484252929688,65.03308868408203,65.51799011230469,66.27989196777344,66.33760070800781,70.219,58.837
2016-04-08,62.95848,64.3771743774414,64.2909927368164,63.1596794128418,65.67830657958984,66.0691146850586,63.92512130737305,65.31731414794922,66.05217742919922,66.5655746459961,70.351,59.058
2016-04-09,64.663536,65.32577514648438,64.38512420654297,63.92866134643555,65.26937103271484,66.07865905761719,63.301971435546875,64.895751953125,65.32698059082031,65.98675537109375,70.353,59.236
2016-04-10,65.18365,64.60145568847656,64.23867797851562,64.0828628540039,65.187255859375,67.27825164794922,62.63915252685547,64.22802734375,64.29377746582031,66.01575469970703,70.286,59.408
2016-04-11,64.53995,63.82504653930664,65.02765655517578,63.75152587890625,65.86013793945312,67.62808227539062,63.578243255615234,65.05865478515625,64.58097839355469,65.34153747558594,70.167,59.556
2016-04-12,64.19858,63.40083312988281,64.95097351074219,63.45221710205078,66.14495849609375,67.14022064208984,63.81902313232422,65.3105697631836,64.6787338256836,65.0448989868164,70.017,59.61
2016-04-13,62.447918,63.78886032104492,64.27383422851562,62.477420806884766,66.3079605102539,66.28783416748047,63.307533264160156,65.98138427734375,64.1698226928711,64.34943389892578,69.862,59.719
2016-04-14,61.374523,63.734703063964844,63.398372650146484,61.994380950927734,65.54962921142578,65.02865600585938,62.086639404296875,64.87283325195312,64.55616760253906,63.93546676635742,69.657,59.938
2016-04-15,60.74272,63.171993255615234,62.48822784423828,61.031455993652344,65.426025390625,64.18355560302734,61.23323059082031,64.01744079589844,63.81611251831055,63.03300476074219,69.339,60.143
2016-04-16,61.40121,63.05823516845703,62.434810638427734,62.29381561279297,65.85575866699219,64.07875061035156,61.54450225830078,63.73896789550781,63.513553619384766,63.14212417602539,68.887,60.326
2016-04-17,62.15608,63.39974594116211,62.72248458862305,62.63077163696289,64.50676727294922,63.208763122558594,62.02671813964844,63.80683517456055,63.506568908691406,63.90218734741211,68.389,60.356
2016-04-18,60.736206,62.46924591064453,62.01108169555664,62.206966400146484,64.0521469116211,62.42953109741211,61.702030181884766,63.17926025390625,63.013179779052734,63.17838668823242,67.986,60.173
2016-04-19,59.794117,61.70887756347656,61.392478942871094,59.65231704711914,63.9343376159668,61.64631652832031,62.41543960571289,62.68571853637695,62.85894775390625,62.77559280395508,67.781,59.973
2016-04-20,59.777054,61.54228210449219,61.01163864135742,59.893672943115234,63.785892486572266,61.984962463378906,62.395843505859375,62.456233978271484,63.19479751586914,63.07898712158203,67.798,59.899
