,rmse_arr,pear_arr,mielke_arr
0,4.800169766920725,0.5764054406766889,0.5728858449692299
1,4.913655184599221,0.5486252441693227,0.5306525609005011
2,4.882776614611182,0.5319206267798509,0.522574704548102
3,5.2197858826196075,0.527930296419973,0.5231106895071833
4,5.6279574433887145,0.5577294853917087,0.4742863722869618
5,5.573841702763606,0.5262427553517917,0.4641148531489876
6,5.358995107098717,0.4375596390659078,0.4368330823266825
7,5.5221739999185235,0.5323474260654593,0.46674483714889736
8,5.955817726727278,0.5230173728659213,0.4329651972850429
9,5.781489178702104,0.5235995179479458,0.4221814828746038
10,5.40599111583007,0.38894519583111886,0.321167495732386
11,4.08270022004055,0.5890239972436624,0.47446585286807974
12,0.0,1.0,1.0
