Datetime,p37b8k2,p39b8k4,p41b8k6,p43b8k8,p45b8k10,p47b8k12,obs
2015-01-30,8.64712,10.977363586425781,11.884583473205566,9.600152969360352,9.357992172241211,8.101244926452637,-5.37
2015-01-31,7.7354975,9.210987091064453,11.013395309448242,10.60191822052002,10.588912010192871,9.22556209564209,-5.2566667
2015-02-01,6.6015086,9.069003105163574,8.503110885620117,10.599454879760742,10.112142562866211,7.780590534210205,-5.1433334
2015-02-02,10.3004055,6.768878936767578,9.716222763061523,4.810446739196777,5.018462181091309,8.21898078918457,-5.0299997
2015-02-03,9.288858,7.423406600952148,9.21603775024414,5.140440940856934,5.638416290283203,5.3637824058532715,-5.3380003
2015-02-04,8.183763,6.9900665283203125,7.2282819747924805,9.778536796569824,8.548957824707031,4.323968410491943,-5.646
2015-02-05,5.4176044,5.760251045227051,4.318274974822998,10.408041954040527,7.050179958343506,2.6762211322784424,-5.9540005
2015-02-06,9.047243,5.500036239624023,7.1235175132751465,7.062549114227295,3.2653775215148926,6.200750350952148,-6.262
2015-02-07,6.671647,4.357815265655518,4.911147117614746,4.702569484710693,2.152268648147583,1.8136241436004639,-6.5699997
2015-02-08,6.731532,2.4123001098632812,0.11326903104782104,4.539614677429199,1.749981164932251,-0.8863696455955505,-6.8779993
2015-02-09,6.450272,7.033580780029297,-1.6068696975708008,5.809910774230957,0.8856327533721924,-3.165462017059326,-7.186
2015-02-10,14.90752,8.115826606750488,2.205246686935425,4.1086015701293945,1.5171071290969849,-0.550404965877533,-7.4940004
2015-02-11,9.115473,-0.05015677213668823,-2.4792659282684326,-0.7766162753105164,-2.5098605155944824,-5.390701770782471,-7.802
2015-02-12,-4.562014,-5.297558307647705,-6.095150470733643,-4.735453128814697,-6.249915599822998,-7.701409339904785,-8.110001
2015-02-13,-10.241495,-8.621747016906738,-7.317999839782715,-16.16085433959961,-11.161177635192871,-7.059465408325195,-8.418
2015-02-14,-9.33276,-7.331689834594727,-7.3646345138549805,-13.959817886352539,-8.27352523803711,-8.492952346801758,-8.726
2015-02-15,-3.519247,-8.049951553344727,-8.954629898071289,-15.367506980895996,-11.366662979125977,-8.532074928283691,-9.034
2015-02-16,-16.044647,-8.782051086425781,-7.060553550720215,-11.906991004943848,-8.715567588806152,-7.99473762512207,-9.342
2015-02-17,-10.185937,-10.194345474243164,-6.155025005340576,-0.8200306296348572,-6.13882303237915,-8.16485595703125,-9.65
2015-02-18,-11.118251,-8.224018096923828,-2.331543207168579,2.624713182449341,-2.498089551925659,-3.6235451698303223,-8.2175
2015-02-19,-12.842523,-7.887711524963379,-4.051065921783447,-11.783834457397461,-8.137819290161133,-5.5144829750061035,-6.785001
