,rmse_arr,pear_arr,mielke_arr
0,9.266475130292642,0.4186759775518228,0.3494034629446171
1,8.924977739446023,0.5641566028035925,0.48076131943316824
2,9.02396488473925,0.5652197093567949,0.4753790093162954
3,8.274151593857844,0.527477607003833,0.45274229545774647
4,8.365015208764316,0.5036051649862823,0.43438197003773793
5,8.080577166805293,0.4124112865561312,0.3922935786733518
6,8.924706512203738,0.5662712508344576,0.47503077030439267
7,8.021106648366551,0.5027724245783098,0.4537534638173949
8,7.9922136832609185,0.4980227659916321,0.4514979395357158
9,8.224421870117334,0.3912555746756837,0.37344227337871094
10,0.0,1.0,1.0
