Datetime,p87b8k2,p89b8k4,p91b8k6,p93b8k8,p95b8k10,p97b8k12,obs
2015-03-21,9.668639,8.72256851196289,9.519487380981445,9.34256649017334,9.422455787658691,10.51317310333252,12.01
2015-03-22,8.463861,7.202723026275635,10.35918140411377,11.32373332977295,10.21296215057373,13.269758224487305,12.69
2015-03-23,8.4075775,7.625209331512451,8.381902694702148,10.742034912109375,11.69630241394043,15.088366508483887,9.364285
2015-03-24,9.242985,6.606114864349365,7.2263946533203125,9.536599159240723,9.841431617736816,12.054303169250488,6.0385714
2015-03-25,9.720256,9.831413269042969,9.216717720031738,11.257829666137695,13.219374656677246,14.25426959991455,2.7128572
2015-03-26,8.754792,10.211236953735352,11.788228034973145,14.2574462890625,15.43189811706543,17.90209197998047,-0.61285704
2015-03-27,9.618375,9.15249252319336,10.691633224487305,13.48196792602539,15.567473411560059,17.36864471435547,-3.9385715
2015-03-28,9.108859,8.79507064819336,12.508879661560059,14.211220741271973,14.88438606262207,16.112390518188477,-7.264286
2015-03-29,8.74975,9.964001655578613,12.602997779846191,12.557818412780762,13.205342292785645,14.719632148742676,-10.59
2015-03-30,8.3921385,9.263290405273438,8.42628002166748,10.619551658630371,11.134357452392578,12.923821449279785,-15.360002
2015-03-31,8.352241,11.793266296386719,9.819766998291016,8.545406341552734,11.22999095916748,10.460994720458984,-15.5425005
2015-04-01,9.512532,12.74168586730957,12.302520751953125,11.285335540771484,12.48685073852539,12.990961074829102,-15.725001
2015-04-02,9.216781,10.268539428710938,10.308947563171387,10.693556785583496,11.30452823638916,13.115018844604492,-15.907498
2015-04-03,6.041727,8.654833793640137,7.1482110023498535,8.15615463256836,8.93061637878418,10.933582305908203,-16.089998
2015-04-04,3.269319,5.7295241355896,7.629453659057617,5.728755950927734,6.911299705505371,9.600728034973145,-16.2725
2015-04-05,4.104276,6.332050323486328,7.3017449378967285,7.744819641113281,7.758856296539307,10.409536361694336,-16.454998
2015-04-06,5.944243,7.5023627281188965,5.802547931671143,6.976093769073486,7.742254257202148,8.670710563659668,-16.637499
2015-04-07,4.696326,7.298338890075684,8.089226722717285,8.487462997436523,8.21044921875,9.178997039794922,-16.819998
2015-04-08,5.3073983,6.918291091918945,8.558622360229492,12.485220909118652,12.984759330749512,13.989493370056152,-16.083332
2015-04-09,6.4328365,7.423076629638672,9.034004211425781,12.905088424682617,13.205880165100098,14.470926284790039,-15.346665
2015-04-10,5.403735,6.7230048179626465,10.035772323608398,7.143312931060791,8.210579872131348,7.833569526672363,-14.61
2015-04-11,6.999595,7.458472728729248,9.401933670043945,7.826811790466309,6.458906173706055,6.465089321136475,-13.873333
2015-04-12,8.005302,10.901426315307617,9.613924026489258,10.323476791381836,8.95130443572998,8.133338928222656,-13.136666
2015-04-13,9.418367,11.659573554992676,10.33350944519043,10.854216575622559,10.267184257507324,8.588751792907715,-12.400001
2015-04-14,6.850981,9.767064094543457,9.698220252990723,8.195351600646973,8.136974334716797,7.712369918823242,-11.663334
2015-04-15,7.203912,8.5997314453125,10.03407096862793,7.073269367218018,5.272172927856445,6.3103718757629395,-10.926667
2015-04-16,5.2675676,6.701712608337402,8.73974609375,7.006526947021484,5.8447465896606445,4.876562118530273,-10.190001
2015-04-17,4.021698,5.748056888580322,7.8505539894104,7.644322395324707,6.181857109069824,6.319623947143555,-11.082667
2015-04-18,5.4919615,4.121226787567139,5.695947170257568,4.105111122131348,3.713560104370117,5.544671058654785,-11.975333
2015-04-19,2.6635785,1.82992422580719,1.9235740900039673,1.5563238859176636,2.6103451251983643,4.1437201499938965,-12.867999
2015-04-20,0.4392091,2.325683355331421,1.6582064628601074,0.6453825831413269,1.5687717199325562,1.7163145542144775,-13.760666
2015-04-21,1.9798042,3.4752488136291504,2.807077407836914,3.313938617706299,3.5968897342681885,4.03596305847168,-14.653333
2015-04-22,3.5194662,3.481698989868164,2.114468574523926,2.286407470703125,3.3901572227478027,3.4019243717193604,-15.545999
2015-04-23,2.2488933,2.485597848892212,2.2293267250061035,2.118626594543457,2.6727304458618164,2.6803030967712402,-16.438665
2015-04-24,-1.0821459,1.2340829372406006,1.1641080379486084,1.4482862949371338,1.3316466808319092,1.9395952224731445,-17.331331
2015-04-25,-1.3174496,-0.02293795347213745,1.0181964635849,1.241753101348877,0.4813913106918335,2.0861825942993164,-18.223999
2015-04-26,-0.21611196,1.2474374771118164,1.6937772035598755,1.1253151893615723,1.2216953039169312,0.8073736429214478,-19.116665
2015-04-27,0.9202328,0.938146710395813,2.4905784130096436,2.0183749198913574,1.3196073770523071,2.2408580780029297,-20.009333
2015-04-28,0.57649976,3.4106855392456055,3.1913938522338867,4.852476596832275,4.979975700378418,5.080763339996338,-20.901999
2015-04-29,1.0155063,2.915102481842041,2.2578542232513428,6.251434803009033,5.578194618225098,5.778080463409424,-21.794664
2015-04-30,0.57695454,2.993053436279297,3.6780076026916504,3.0283069610595703,3.183774709701538,2.196732997894287,-22.687332
2015-05-01,1.3643913,2.9121925830841064,2.445509433746338,2.3730406761169434,2.35772967338562,0.40348100662231445,-23.579998
2015-05-02,0.08146638,3.294013738632202,2.216233491897583,2.2130589485168457,3.686408042907715,2.2683589458465576,-22.35
2015-05-03,-0.53337735,2.8011491298675537,3.3409669399261475,3.1412224769592285,4.560187339782715,3.8943347930908203,-21.119999
2015-05-04,1.0710454,6.01408052444458,5.025010108947754,4.654587268829346,4.104620933532715,1.693089485168457,-19.89
2015-05-05,2.5797417,4.520989894866943,3.4013266563415527,3.893402099609375,1.7961138486862183,0.9936963319778442,-18.66
