Datetime,p77b8k2,p79b8k4,p81b8k6,p83b8k8,p85b8k10,p87b8k12,obs
2015-03-11,5.722969,4.242281436920166,5.949865341186523,4.563899040222168,3.1455914974212646,4.195774078369141,1.8142856
2015-03-12,6.3298516,4.208309173583984,6.5374321937561035,6.429541110992432,4.918726444244385,6.210210800170898,0.43714285
2015-03-13,5.970939,3.7899723052978516,4.853829860687256,6.437915325164795,3.9545085430145264,6.455315113067627,-0.94
2015-03-14,6.9731,3.0707786083221436,4.503421783447266,4.60919713973999,2.5995166301727295,3.0323166847229004,1.242
2015-03-15,6.306645,5.027098178863525,5.724973201751709,7.066458702087402,5.018560886383057,5.490185737609863,3.424
2015-03-16,6.6968684,6.429092884063721,5.687929153442383,10.913232803344727,8.622881889343262,10.159335136413574,5.606
2015-03-17,6.8900776,4.744079113006592,6.669836521148682,10.866875648498535,10.279226303100586,12.583815574645996,7.788
2015-03-18,6.5528316,4.858928203582764,7.583862781524658,10.422971725463867,9.44576358795166,10.483948707580566,9.97
2015-03-19,6.1199155,4.74263334274292,7.9158806800842285,6.304661750793457,5.55069637298584,6.636807441711426,10.65
2015-03-20,4.7274103,4.215909004211426,6.188582420349121,6.015227317810059,5.057831764221191,6.20310640335083,11.33
2015-03-21,4.563417,5.31587553024292,5.340715408325195,4.4957685470581055,4.728499889373779,4.140150547027588,12.01
2015-03-22,6.2104635,6.321075439453125,7.4807281494140625,6.900668144226074,8.01101016998291,7.62391471862793,12.69
2015-03-23,6.956743,6.4332966804504395,9.047287940979004,7.983118057250977,6.882862091064453,7.010592460632324,9.364285
2015-03-24,6.646586,5.894226551055908,6.556650161743164,6.704876899719238,5.528059482574463,5.376232147216797,6.0385714
2015-03-25,5.5120454,5.778149604797363,7.557437419891357,3.5904738903045654,2.691833972930908,3.2975780963897705,2.7128572
2015-03-26,5.7373395,6.584220886230469,9.638928413391113,6.756194591522217,5.894381046295166,6.038496494293213,-0.61285704
2015-03-27,7.668439,8.228279113769531,8.167366981506348,6.214289665222168,5.7824387550354,5.774317264556885,-3.9385715
